GRS831003009;PIRAEUS BANK;Banken
ZAE000028296;Truworths International;Konsumgueter
NL0011821392;Signify;Rohstofffoerderung
GB00B17BBQ50;Investec;Financials
JE00BV7DQ550;Amcor;Konsumgueter
US70450Y1038;PayPal Holdings Inc;Financials
ES0113860A34;Banco de Sabadell SA;Banken
FI4000292438;Altia;Konsumgueter
PLSTLEX00019;Stalexport Autostrady;Versorger
ZAE000259701;Sibanye Stillwater;Rohstofffoerderung
CNE1000004Q8;Yanzhou Coal Mining;Rohstofffoerderung
US2044096012;Companhia Energetica de Minas Gerais;Versorger
ID1000111305;Adaro Energy;Rohstofffoerderung
US8808901081;Ternium;Rohstofffoerderung
ZAE000054045;African Rainbow Minerals;Rohstofffoerderung
MX41BB000000;Banco del Bajio;Banken
ID1000094006;PT Tambang Batubara Bukit Asam (Persero);Rohstofffoerderung
PLTLKPL00017;Orange Polska;Telekommunikation
GRS419003009;Greek Organisation of Football Prognostics;Konsumgueter
GB00BF8Q6K64;ABERDEEN;Versicherungen
ZAE000109815;Standard Bank Group;Banken
ID1000118201;PT Bank Rakyat Indonesia;Banken
CNE1000002R0;China Shenhua Energy Company;Rohstofffoerderung
ZAE000084992;Exxaro Resources;Rohstofffoerderung
GB00B0CY5V57;Serica Energy;Rohstofffoerderung
GB00BGXQNP29;Phoenix Group;Versicherungen
NO0003921009;DNO International ASA;Rohstofffoerderung
ES0105251005;Neinor Homes;Immobilien
DE0007493991;Ströer;Konsumgueter
IT0000784196;Banca Popolare di Sondrio S.c.a r.l.;Banken
MHY641771016;Okeanis Eco Tankers;Logistik
FR0000120693;Pernod Ricard;Konsumgueter
US0594603039;Banco Bradesco;Banken
PLPKN0000018;PKN ORLEN;Rohstofffoerderung
PLFERRO00016;Ferro;Bau
DK0010274414;Danske Bank;Banken
FR0004040608;ABC Arbitrage;Financials
FR0000054900;Television FSE 1;Konsumgueter
US63253R2013;National Atomic Company Kazatomprom JSC;Rohstofffoerderung
HU0000073507;Magyar Telekom Telecommunications;Telekommunikation
DE0007657231;Villeroy Boch;Konsumgueter
DE0005649503;edel;Konsumgueter
NO0010161896;DNB Bank ASA;Banken
PLPKO0000016;PKO Bank Polski;Banken
CA69946Q1046;Parex Resources;Rohstofffoerderung
CA7170461064;Peyto Exploration Development;Rohstofffoerderung
DK0060696300;Scandinavian Tobacco Group;Tabak
ES0105027009;Compania de Distribucion Integral Logista;Logistik
PLKETY000011;Grupa Kety;Rohstofffoerderung
US2810201077;Edison International;Versorger
IE00BF2NR112;Greencoat Renewables;Versorger
US02319V1035;Ambev;Konsumgueter
ES0116870314;Naturgy Energy;Versorger
US7391972004;Power Assets;Versorger
