ZAE000028296;TRWKF;Truworths International
NL0011821392;SFFYF;Signify
GB00B17BBQ50;IVTJF;Investec
JE00BV7DQ550;AMCR;Amcor
US70450Y1038;PYPL;PayPal Holdings Inc
ES0113860A34;BNDSF;Banco de Sabadell SA
ZAE000259701;SBYSF;Sibanye Stillwater
US2044096012;CIG;Companhia Energetica de Minas Gerais
CNE1000004Q8;YZCHF;Yanzhou Coal Mining
ID1000111305;PADEF;Adaro Energy
US8808901081;TX;Ternium
ZAE000054045;AFBOF;African Rainbow Minerals
MX41BB000000;BBAJF;Banco del Bajio
ID1000094006;PBATF;PT Tambang Batubara Bukit Asam (Persero)
PLTLKPL00017;PTTWF;Orange Polska
GB00BF8Q6K64;SLFPF;ABERDEEN
ZAE000109815;SBGOF;Standard Bank Group
CNE1000002R0;CUAEF;China Shenhua Energy Company
ZAE000084992;EXXAF;Exxaro Resources;
GB00B0CY5V57;SQZZF;Serica Energy
GB00BGXQNP29;PNXGF;Phoenix Group
NO0003921009;DTNOF;DNO International ASA
ES0105251005;NNRHF;Neinor Homes
DE0007493991;SOTDF;Ströer
MHY641771016;ECO;Okeanis Eco Tankers;
FR0000120693;PDRDF;Pernod Ricard
US0594603039;BBD;Banco Bradesco
PLPKN0000018;PSKOF;PKN ORLEN;
DK0010274414;DNSKF;Danske Bank
FR0004040608;ABCCF;ABC Arbitrage
FR0000054900;TVFCF;Television FSE 1
US63253R2013;NATKY;National Atomic Company Kazatomprom JSC
HU0000073507;MGYTF;Magyar Telekom Telecommunications
DE0007657231;VLBOF;Villeroy Boch
NO0010161896;DNBBF;DNB Bank ASA
PLPKO0000016;PSZKF;PKO Bank Polski
CA69946Q1046;PARXF;Parex Resources
CA7170461064;PEYUF;Peyto Exploration Development
DK0060696300;SNDVF;Scandinavian Tobacco Group
ES0105027009;CDNIF;Compania de Distribucion Integral Logista
US2810201077;EIX;Edison International
US02319V1035;ABEV;Ambev
ES0116870314;GASNF;Naturgy Energy
US7391972004;HGKGY;Power Assets
ES0124244E34;MPFRF;Mapfre
CZ0008019106;KMERF;Komercni Banka
CZ0008040318;GMYYF;MONETA Money Bank
PLPZU0000011;PWZYF;Powszechny Zaklad Ubezpieczen
AU0000224040;WOPEF;WOODSIDE ENERGY GROUP LTD;
US69344D4088;PHI;PLDT Inc
SGXZ53070850;HAFN;Hafnia
SG9999012629;KEN;Kenon
CA14150G4007;CRLFF;Cardinal Energy
FR0000035081;CDMGF;ICADE SA
DK0010244425;AMKAF;A.P. Moeller - Maersk A-S
BE0003810273;BGAOF;Proximus
PLPEKAO00016;BKPKF;Bank Polska Kasa Opieki
CNE1000002Q2;SNPMF;China Petroleum Chemical
ID1000122807;PTAIF;PT Astra International
PLLVTSF00010;LCHTF;LIVECHAT Software
BMG850801025;SOIEF;Stolt-Nielsen
ES0109427734;AIOSF;ATRESMEDIA
ZAE000085346;KUMBF;Kumba Iron Ore
GB00BM8PJY71;RBSPF;NatWest Group
DE0005190037;BYMOF;BMW AG PREFERRED
GB0008782301;TWODF;Taylor Wimpey
GRS014003032;BPIRF;Piraeus Financial
SE0000242455;SWDBF;Swedbank;EUR
CNE1000002H1;CICHF;China Construction Bank
CNE1000004F1;SNOTF;Sinotrans
US0152711091;ARE;Alexandria Real Estate Equities
FR0004125920;AMDUF;AMUNDI
GB00B67KBV28;CAMLF;Central Asia Metals
US00081T1088;ACCO;ACCO Brands
DE0007507501;WHTAF;WashTec;
US8256901005;SSTK;Shutterstock
CA96467A2002;WCPRF;Whitecap Resources
NO0011082075;HOEGF;Hoegh Autoliners ASA
GB0033986497;ITVPF;ITV
CA3565001086;FRHLF;Freehold Royalties
BMG988031446;YUEIF;Yue Yuen Industrial
CNE1000003G1;IDCBF;Industrial Commercial Bank of China
CNE1000001Z5;BACHF;BANK OF CHINA;China
CNE100000X44;COGQF;CHONGQING RURAL COMM. H
US3379321074;FE;FIRSTENERGY
US2058871029;CAG;CONAGRA BRANDS INC
US87612E1064;TGT;Target Corporation
US9633201069;WHR;Whirlpool
PLGPW0000017;WSEWF;Warsaw Stock Exchange
US9113121068;UPS;United Parcel Service;
JE00BJ1F3079;AMCR;AMCOR
AU000000APA1;APAJF;APA Group Stapled Securities;
CY0200352116;FRO;Frontline
US00130H1059;AES;The AES Corporation;Versorger
CA1367178326;CDUAF;Canadian Utilities
ES0173516115;REPYF;Repsol
AN8068571086;SLB;Schlumberger
US7134481081;PEP;PEPSICO
USY384721251;HYMTF;Hyundai Motor
FI4000297767;NBNKF;Nordea Bank
DE0005419105;CCCMF;CANCOM
AT0000606306;RAIFF;Raiffeisen
US1104481072;BTI;British American Tobacco
GB0002875804;BTI;British American Tobacco
AT0000946652;SBOEF;Schoeller-Bleckmann
US26884U1097;EPR;EPR Properties
US0886061086;BHP;BHP Billiton Ltd
AU000000BHP4;BHPLF;BHP Billiton Ltd
CA83671M1059;SOBO;South Bow
CA0042721005;ACAZF;ACADIAN TIMBER
FR0000120503;BOUYF;Bouygues;
CA87971M1032;TU;Telus Corp
US49456B1017;KMI;Kinder Morgan;
US9026811052;UGI;UGI Corporation
AU000000NHC7;NHPEF;New Hope
IT0003153415;SNMRF;Versorger
US6410694060;NSRGY;Nestle
NO0010345853;AKRBF;AKER BP NK
BE0003470755;SVYSF;Solvay
US1266501006;CVS;CVS Health
